File_name	Tissue	Antibody	ReplicateChar	Experiment	Experiment_label	BufferNum	BufferChar	Inj_Vol
197T_aORF1_3	197T	Orf1	c	97T_aORF1_3	197T_Orf1_Buffer1	1	1_NH4Acet_NaCl	5
197T_aORF1_4	197T	Orf1	d	97T_aORF1_4	197T_Orf1_Buffer1	1	1_NH4Acet_NaCl	5
197T_aORF1_5	197T	Orf1	a	97T_aORF1_5	197T_Orf1_Buffer9	9	9_HEPESNa_NaCl	5
197T_aORF1_6	197T	Orf1	b	97T_aORF1_6	197T_Orf1_Buffer9	9	9_HEPESNa_NaCl	5
197T_aORF1_7	197T	Orf1	c	97T_aORF1_7	197T_Orf1_Buffer9	9	9_HEPESNa_NaCl	5
197T_aORF1_8	197T	Orf1	d	97T_aORF1_8	197T_Orf1_Buffer9	9	9_HEPESNa_NaCl	5
197T_aORF1_10	197T	Orf1	b	97T_aORF1_10	197T_Orf1_Buffer10	10	10_HEPESNa_MgCl2	5
197T_aORF1_11	197T	Orf1	c	97T_aORF1_11	197T_Orf1_Buffer10	10	10_HEPESNa_MgCl2	5
197T_aORF1_12	197T	Orf1	d	97T_aORF1_12	197T_Orf1_Buffer10	10	10_HEPESNa_MgCl2	5
197T_aORF1_9	197T	Orf1	a	97T_aORF1_9	197T_Orf1_Buffer10	10	10_HEPESNa_MgCl2	5
197T_aORF1_13	197T	Orf1	a	97T_aORF1_13	197T_Orf1_Buffer11	11	11_HEPESNA_MgCl2	5
197T_aORF1_14	197T	Orf1	b	97T_aORF1_14	197T_Orf1_Buffer11	11	11_HEPESNA_MgCl2	5
197T_aORF1_15	197T	Orf1	c	97T_aORF1_15	197T_Orf1_Buffer11	11	11_HEPESNA_MgCl2	5
197T_aORF1_16	197T	Orf1	d	97T_aORF1_16	197T_Orf1_Buffer11	11	11_HEPESNA_MgCl2	5
197T_aORF1_17	197T	Orf1	a	97T_aORF1_17	197T_Orf1_Buffer13	13	13_HEPESK_KAcet	5
197T_aORF1_18	197T	Orf1	b	97T_aORF1_18	197T_Orf1_Buffer13	13	13_HEPESK_KAcet	5
197T_aORF1_19	197T	Orf1	c	97T_aORF1_19	197T_Orf1_Buffer13	13	13_HEPESK_KAcet	5
197T_aORF1_20	197T	Orf1	d	97T_aORF1_20	197T_Orf1_Buffer13	13	13_HEPESK_KAcet	5
197T_aORF1_21	197T	Orf1	a	97T_aORF1_21	197T_Orf1_Buffer17	17	17_TRISCl_Na3Cit	5
197T_aORF1_22	197T	Orf1	b	97T_aORF1_22	197T_Orf1_Buffer17	17	17_TRISCl_Na3Cit	5
197T_aORF1_23	197T	Orf1	c	97T_aORF1_23	197T_Orf1_Buffer17	17	17_TRISCl_Na3Cit	5
197T_aORF1_24	197T	Orf1	d	97T_aORF1_24	197T_Orf1_Buffer17	17	17_TRISCl_Na3Cit	5
